"","occurrence_no","early_interval","late_interval","max_ma","max_ma_error","max_ma_method","min_ma","min_ma_error","min_ma_method","direct_ma_value","direct_ma_error","direct_ma_method","formation","member","spatial_resolution","collection_dates","research_group","ref_author","ref_pubyr"
"82849",725929,"Cenomanian","Turonian",100.5,NA,"",89.8,NA,"",NA,NA,"","Baba Darves","","","","marine invertebrate","Quarto di Palo 1970",1970
"82904",729121,"Piripauan","",86.1,NA,"",83.6,NA,"",NA,NA,"","Okarahia Sandstone","","","","marine invertebrate","Warren and Speden 1978",1978
"83083",729322,"Haumurian","",83.6,NA,"",66,NA,"",NA,NA,"","Tarapuhi Grit","","","","marine invertebrate","Warren and Speden 1978",1978
"83111",729354,"Haumurian","",83.6,NA,"",66,NA,"",NA,NA,"","Conway Siltstone","","","","marine invertebrate","Warren and Speden 1978",1978
"83136",729380,"Haumurian","",83.6,NA,"",66,NA,"",NA,NA,"","Claverley Sandstone","","","","marine invertebrate","Warren and Speden 1978",1978
"83158",729442,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Kiuragi","","","","marine invertebrate","Majima 1989",1989
"83251",731133,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Silantek","","","1974","marine invertebrate","Kanno 1978",1978
"83260",731158,"Late Eocene","",37.71,NA,"",33.9,NA,"",NA,NA,"","Karkar","","","","marine invertebrate","Piccoli and Savazzi 1983",1983
"83837",731833,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Ferriby","","","","marine invertebrate,micropaleontology","Paul et al. 1994",1994
"84047",732499,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Marna di Possagno","","","","marine invertebrate","Reato 1983",1983
"84148",733788,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Capay","","","","marine invertebrate","Merriam and Turner 1937",1937
"84151",734116,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Nanggulan","Kalisongo","","1994","marine invertebrate","Zamparini 2001",2001
"84197",734852,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Tavo","","","1938-1939","marine invertebrate","Azzaroli 1958",1958
"84201",735491,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Gheldeis","","","1938-1939","marine invertebrate","Azzaroli 1958",1958
"84203",735501,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Gianti","","","1938-1939","marine invertebrate","Azzaroli 1958",1958
"84311",736154,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Dammam","","","","marine invertebrate","Cox 1936",1936
"84363",737554,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Liburnian","","","","marine invertebrate","Drobne et al. 1988",1988
"84390",738803,"Middle Campanian","Late Campanian",83.6,NA,"",72.2,NA,"",NA,NA,"","Donoho Creek","","parautochthonous","","vertebrate","Cicimurri 2007",2007
"84489",749497,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Soldado","","","","marine invertebrate","Maury 1912",1912
"84527",749540,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Boca de Serpiente","","","","marine invertebrate","Maury 1912",1912
"84627",750088,"Early Oligocene","",33.9,NA,"",27.3,NA,"",NA,NA,"","Collazo Shale","","","1915","marine invertebrate","Maury 1920",1920
"84650",750111,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Lares Limestone","","","1915","marine invertebrate","Maury 1920",1920
"84673",750166,"Early Cretaceous","",143.1,NA,"",100.5,NA,"",NA,NA,"","Grayson","","","","marine invertebrate","Alexander 1931",1931
"84676",750376,"Selandian","Thanetian",61.66,NA,"",56,NA,"",NA,NA,"","Nanafalia","""Ostrea thirsae""","","","GCP,marine invertebrate","Toulmin 1977",1977
"84694",750484,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Antigua","","","1915","marine invertebrate","Brown 1913",1913
"84834",751699,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Tuscahoma","Greggs Landing Marl","","","GCP,marine invertebrate","Toulmin 1977",1977
"84842",751725,"Late Oligocene","",27.3,NA,"",23.04,NA,"",NA,NA,"","Caballas","","","","marine invertebrate","Hendy et al. 2008",2008
"85463",756446,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Manasquan","","","","marine invertebrate","Miller and Thompson 1935",1935
"85464",756449,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Mishash","","","","marine invertebrate","Edelman-Furstenberg 2008",2008
"85662",756671,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Tonosí","","","","marine invertebrate","Miller 1947",1947
"85664",756673,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Merlinleigh Sandstone","","","","marine invertebrate","Teichert 1944",1944
"85673",756690,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Beer Head Limestone","","","","marine invertebrate","Kennedy 1969",1969
"85725",757158,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Bigford","","","","marine invertebrate","Miller and Furnish 1938",1938
"85743",757361,"Priabonian","",37.71,NA,"",33.9,NA,"",NA,NA,"","Marne di Priabona","","","","marine invertebrate","Fornaseiro and Vicariotto 1995",1995
"85762",757538,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Chiampo Marble","","","","marine invertebrate","Fornasiero and Vicariottio 1997",1997
"85802",758668,"Ypresian","Lutetian",56,NA,"",41.03,NA,"",NA,NA,"","Tallahatta","Lower","","","GCP,marine invertebrate","Toulmin 1977",1977
"86151",759558,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Rhems","Browns Ferry","","","marine invertebrate","Reeside 1924",1924
"86626",765934,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Daban","","","1933","marine invertebrate","Haas and Miller 1952",1952
"86650",765958,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Shark River Marl","","","","marine invertebrate","Miller 1947",1947
"86654",766318,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Ardath","","","","marine invertebrate","Miller 1947",1947
"86656",766366,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Vine Hill","","","","marine invertebrate","Miller 1947",1947
"86664",767137,"Lutetian","",48.07,NA,"",41.03,NA,"",NA,NA,"","Pale Greda","","","","marine invertebrate","Olsson 1928",1928
"86668",767182,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Wills Point","Mexia","","","marine invertebrate","Miller 1947",1947
"86673",767607,"Middle Eocene","",48.07,NA,"",37.71,NA,"",NA,NA,"","Sylhet Limestones","","","1965 - 1966","vertebrate","Mathur and Gangopadhyaya 1967",1967
"86678",768069,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Pauji","","","","marine invertebrate","Miller and Collinson 1951",1951
"86679",768116,"Ypresian","",56,NA,"",48.07,NA,"",NA,NA,"","Cardabia","Jubilee","","","marine invertebrate","Glenister et al. 1956",1956
"86680",768117,"Bartonian","",41.03,NA,"",37.71,NA,"",NA,NA,"","Giralia Calcarenite","","","","marine invertebrate","Glenister et al. 1956",1956
"86681",768118,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Miria","","","","marine invertebrate","Glenister et al. 1956",1956
"86690",768235,"Selandian","",61.66,NA,"",59.24,NA,"",NA,NA,"","Landana","","","","marine invertebrate,vertebrate","Miller 1935",1935
"86692",768679,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Mural","Cerro La Ceja","","","marine invertebrate","González-Léon et al. 2008",2008
"86915",769577,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Saint Cirac","","","","marine invertebrate","Kennedy et al. 1992",1992
"87010",769700,"Late Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Hinoshima","","","","marine invertebrate","Komatsu et al. 2008",2008
"87126",769820,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Nahr Umr","","","","marine invertebrate,micropaleontology","Kennedy and Simmons 1991",1991
"87127",769821,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Natih","","","","marine invertebrate,micropaleontology","Kennedy and Simmons 1991",1991
"87138",769845,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Weno","","","","marine invertebrate","Kennedy et al. 1998",1998
"87246",769954,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Curacao Lava","","","","marine invertebrate","Wiedmann 1978",1978
"87254",769973,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Cesarea Limestone","","","","marine invertebrate,micropaleontology","Schluter et al. 2008",2008
"87272",770009,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Ciolo Limestone","","","","marine invertebrate,micropaleontology","Schluter et al. 2008",2008
"87314",770086,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Goodland Limestone","","","","marine invertebrate","Kennedy et al. 1998",1998
"87318",770090,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Comanche Peak Limestone","","","","marine invertebrate","Kennedy et al. 1998",1998
"87432",770343,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Gulpen","Zeven Wegen Chalk","","","marine invertebrate","Kennedy 1986",1986
"87461",770658,"Late Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Mzamba","","","","marine invertebrate","Klinger 1985",1985
"87558",771652,"Late Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Umgazana","","","","marine invertebrate","Klinger and Kennedy 1979",1979
"87572",771724,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Eastend","","","1934-1936","marine invertebrate","Russell and Landes 1937",1937
"87616",771769,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Bearpaw","","","1934-1936","marine invertebrate","Russell and Landes 1937",1937
"87704",771982,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Pawkowki","","","1934-1936","marine invertebrate","Russell and Landes 1937",1937
"87941",772291,"Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Awgu Ndeaboh Shale","","","","marine invertebrate","Reyment 1954",1954
"87970",772429,"Middle Albian","",110.1,NA,"",106.3,NA,"",NA,NA,"","Uomba","","","","marine invertebrate","Reyment 1955",1955
"87974",772442,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Nwofe Sandstone","","","","marine invertebrate","Reyment 1955",1955
"88040",772525,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Eze-Aku Shales","","","","marine invertebrate","Reyment 1955",1955
"88070",772557,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Igumale","","","","marine invertebrate","Reyment 1955",1955
"88126",772623,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Lower Chalk","","","","marine invertebrate","Kennedy 1970",1970
"88137",772638,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Glauconitic Marl","","","","marine invertebrate","Kennedy 1970",1970
"88283",772945,"Middle Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Unnamed Vocontian","","","","marine invertebrate","Kennedy 1994",1994
"88404",773124,"Middle Albian","",110.1,NA,"",106.3,NA,"",NA,NA,"","Keys Valley Marl","","","","marine invertebrate","Young 1966",1966
"88432",773152,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Benevides","","","1958","marine invertebrate","Young 1966",1966
"88480",773243,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Saint-Symphorien","","","","marine invertebrate","Kennedy 1993",1993
"88486",773249,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Craie de Ciply","","","","marine invertebrate","Kennedy 1993",1993
"88491",773254,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Spiennes Chalk","","","","marine invertebrate","Kennedy 1993",1993
"88492",773255,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Nouvelles Chalk","","","","marine invertebrate","Kennedy 1993",1993
"88494",773257,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Obourg","","","","marine invertebrate","Kennedy 1993",1993
"88507",773272,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Trivières Chalk","","","","marine invertebrate","Kennedy 1993",1993
"88510",773289,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Eggardon Grit","","","","marine invertebrate","Kennedy 1970",1970
"88576",773442,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Zig Zag Chalk","","","","marine invertebrate","Kennedy 1970",1970
"88616",773489,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Vaals","","","","marine invertebrate","Kennedy 1986",1986
"88629",773510,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Calcaire de Kunraed","","","","marine invertebrate","Kennedy 1986",1986
"88757",773709,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Yolde","","","","marine invertebrate","Barber 1957",1957
"88778",773761,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Gongila","","","","marine invertebrate","Barber 1957",1957
"88836",773842,"Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Sekule","","","","marine invertebrate","Barber 1960",1960
"88849",773857,"Late Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Jessu","","","","marine invertebrate","Carter et al. 1963",1963
"88857",773865,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Dukul","","","","marine invertebrate","Barber 1957",1957
"88884",774002,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Saratoga Chalk","","","1971","marine invertebrate","Kennedy and Cobban 1993",1993
"88961",774086,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Annona","","","1973-1974","marine invertebrate","Kennedy and Cobban 1993",1993
"89003",774162,"Late Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Blossom Sand","","","1944","marine invertebrate","Kennedy et al. 2001",2001
"89064",774745,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Brightseat","","","","marine invertebrate","Govoni 1983",1983
"89078",774759,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Kangilia","","","","marine invertebrate","Kennedy et al. 1999",1999
"89381",776100,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Marília","Echaporã","","","vertebrate","Bertini et al. 2001",2001
"89433",776986,"Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Santa Marta","Lachman Crags","","","marine invertebrate","Kennedy et al. 2007",2007
"89792",777570,"Late Paleocene","",59.24,NA,"",56,NA,"",NA,NA,"","Tuscahoma Sand","Bells Landing Marl","","","vertebrate","Froede 2008",2008
"89795",777577,"Turonian","Santonian",93.9,NA,"",83.6,NA,"",NA,NA,"","Glenburn","","","","marine invertebrate","Johnston 1980",1980
"89801",777583,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Gentle Annie","","","","marine invertebrate","Johnston 1980",1980
"89806",777588,"Piripauan","",86.1,NA,"",83.6,NA,"",NA,NA,"","Te Mai","","","","marine invertebrate","Johnston 1980",1980
"89826",777611,"Motuan","",103.3,NA,"",99.5,NA,"",NA,NA,"","Maringi","","","","marine invertebrate","Johnston 1980",1980
"89871",777741,"Motuan","",103.3,NA,"",99.5,NA,"",NA,NA,"","Mangapokia","","","1975","marine invertebrate","Moore and Speden 1984",1984
"89873",777745,"Motuan","",103.3,NA,"",99.5,NA,"",NA,NA,"","Waewaepa","","","1975","marine invertebrate","Moore and Speden 1984",1984
"90273",778317,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Myrtle","","","1954","marine invertebrate","Imlay 1960",1960
"90275",778319,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Spieden","","","","marine invertebrate","Imlay 1960",1960
"90333",778381,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Paskenta","","","1900","marine invertebrate","Imlay 1960",1960
"90374",778475,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Fuentes","","","","marine invertebrate","Lahsen and Charrier 1972",1972
"90382",778486,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Rocallosa","","","","marine invertebrate","Lahsen and Charrier 1972",1972
"90383",778487,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Santa Ana","","","","marine invertebrate","Lahsen and Charrier 1972",1972
"90385",778489,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Rio Blanco","","","","marine invertebrate","Lahsen and Charrier 1972",1972
"90406",778616,"Late Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Craie de Valognes","","","","marine invertebrate","Kennedy 1986",1986
"90509",778794,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Hartz Fjeld","Hennig ryg","","","marine invertebrate","Alsen 2006",2006
"90516",778801,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Llindemann Bugt","","","","marine invertebrate","Alsen 2006",2006
"90664",779113,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Lancelin","","","","marine invertebrate","McNamara et al. 1988",1988
"90721",779203,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Ragged Valley Shale","","","1931","marine invertebrate","Anderson 1958",1958
"91063",779732,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Miria Calcarenite","","","","marine invertebrate","Henderson et al. 1992",1992
"91079",779749,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Korojon Calcarenite","","","","marine invertebrate","Henderson et al. 1992",1992
"91180",779904,"Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Morven","","","","marine invertebrate","Whitehouse 1926",1926
"91181",779905,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Wallumbilla","Doncaster","","","marine invertebrate","Whitehouse 1926",1926
"91249",780234,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Stanwell Coal Measures","","","","marine invertebrate","Whitehouse 1946",1946
"91256",780241,"Turonian","Santonian",93.9,NA,"",83.6,NA,"",NA,NA,"","Teba","","","1915","marine invertebrate","Haas 1943",1943
"91379",780518,"Selandian","Thanetian",61.66,NA,"",56,NA,"",NA,NA,"","Teberemt","","","","marine invertebrate","Douvillé 1920",1920
"91381",780522,"Thanetian","",59.24,NA,"",56,NA,"",NA,NA,"","Kalambaina","","","","marine invertebrate","Douvillé 1920",1920
"91523",781640,"Aptian","",121.4,NA,"",113.2,NA,"",NA,NA,"","Xiagou","","parautochthonous","","vertebrate","You et al. 2005",2005
"91561",781822,"Late Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Naiba","","","","marine invertebrate","Yazykova et al. 2004",2004
"91838",783835,"Late Aptian","",119.57,NA,"",113.2,NA,"",NA,NA,"","Travis Peak","","","","marine invertebrate","Emerson et al. 1994",1994
"91843",783845,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Cuchillo","","","","marine invertebrate","Emerson et al. 1994",1994
"91975",784140,"Early Paleocene","",66,NA,"",61.66,NA,"",NA,NA,"","Seguin","","","","GCP,marine invertebrate","Foster et al. 2020",2020
"92191",785906,"Barremian","Early Aptian",125.77,NA,"",119.57,NA,"",NA,NA,"","Sligo","","","","marine invertebrate","Scott and Hinote 2007",2007
"92215",786022,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Stuart City","","","","marine invertebrate,micropaleontology","Scott and Filkorn 2007",2007
"92226",786038,"Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Gornji Humac","","","","marine invertebrate","Korbar 2007",2007
"92228",786043,"Late Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Quintanaloma","","","","marine invertebrate","Higuera et al. 2007",2007
"92232",786059,"Turonian","Coniacian",93.9,NA,"",85.7,NA,"",NA,NA,"","Lower","","","","marine invertebrate","Götz 2007",2007
"92235",786077,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Rio Grande","","","","marine invertebrate","Mitchell et al. 2007",2007
"92284",786191,"Middle Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Bireno","","","","marine invertebrate","Negra and Zagrarni 2007",2007
"92306",786231,"Late Turonian","Early Coniacian",93.9,NA,"",85.7,NA,"",NA,NA,"","Scaglia Rossa Veneta","","","","marine invertebrate","Trevisani and Cestari 2007",2007
"92322",787297,"Early Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Craie glauconieuse","Sables de Mont-Ormel","","","marine invertebrate","Breton 2008",2008
"92341",787672,"Late Campanian","Early Maastrichtian",83.6,NA,"",66,NA,"",NA,NA,"","Loncoche","","","","vertebrate","Previtera and González Riga 2008",2008
"92501",790475,"Rupelian","Chattian",33.9,NA,"",23.04,NA,"",NA,NA,"","Sagdere","","","","marine invertebrate","Islamoglu 2008",2008
"92889",795289,"Early Paleocene","Middle Paleocene",66,NA,"",59.24,NA,"",NA,NA,"","Shark River","","","","GCP,marine invertebrate","Sessa et al. 2009",2009
"92898",795362,"Early Barremian","",125.77,NA,"",121.4,NA,"",NA,NA,"","Labatlan Sandstone","","","1963-1964","marine invertebrate","Fözy and Janssen 2009",2009
"92932",795400,"Late Hauterivian","",132.6,NA,"",125.77,NA,"",NA,NA,"","Bersek Marl","","","1963-1964","marine invertebrate","Fözy and Janssen 2009",2009
"93391",797583,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Pleasants Sandstone","","","1933","marine invertebrate","Popenoe 1957",1957
"93453",797814,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Waltham","","","","marine invertebrate","Matsumoto 1960",1960
"93472",798230,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Joaquin","","","1935","marine invertebrate","Anderson 1958",1958
"93563",799319,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Chalk Marl","","","","marine invertebrate","Abbass 1962",1962
"93565",799321,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Burwell Rock","","","","marine invertebrate","Abbass 1962",1962
"93569",799325,"Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","White Limestone","","","","marine invertebrate","Abbass 1962",1962
"93574",799331,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Gault","","","","marine invertebrate","Abbass 1962",1962
"93604",799363,"Early Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Haborogawa","","","","marine invertebrate","Tanabe 1977",1977
"93606",799365,"Late Coniacian","",89.8,NA,"",85.7,NA,"",NA,NA,"","Kashima","","","","marine invertebrate","Tanabe 1977",1977
"93617",799376,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Mikasa","","","","marine invertebrate","Tanabe 1977",1977
"93657",799446,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Bruderndorf","","","","marine invertebrate","Kühn 1930",1930
"93680",799494,"Danian","",66,NA,"",61.66,NA,"",NA,NA,"","Lithothamnium Limestone","","","","marine invertebrate","Kühn 1930",1930
"93690",799518,"Chattian","",27.3,NA,"other",23.04,NA,"other",NA,NA,"","Milburn Limestone","","","","vertebrate","Andrew 1906",1906
"93708",799564,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Nagase","","","","marine invertebrate","Tashiro and Kozai 1982",1982
"93716",799572,"Late Santonian","",85.7,NA,"",83.6,NA,"",NA,NA,"","Kajisako","","","","marine invertebrate","Tashiro and Kozai 1982",1982
"93807",799673,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Ohimisaki","","","","marine invertebrate","Matsumoto 1984",1984
"93815",800153,"Early Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Grey Garumnian","","autochthonous","1986-2012","vertebrate","Vila et al. 2008",2008
"93842",802243,"Paleocene","",66,NA,"",56,NA,"",NA,NA,"","Oiching","","","","marine invertebrate","Traub 1938",1938
"93968",802505,"Maastrichtian","",72.2,NA,"",66,NA,"",NA,NA,"","Tanque","","","","marine invertebrate","Wolleben 1977",1977
"93973",803052,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Clearwater","","","1916","marine invertebrate","Jeletzky 1964",1964
"93979",803058,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Shaftesbury","","","1917","marine invertebrate","Jeletzky 1964",1964
"93980",803059,"Late Albian","",106.3,NA,"",100.5,NA,"",NA,NA,"","Sikanni","","","1944","marine invertebrate","Jeletzky 1964",1964
"93982",803063,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Buckinghorse","","","1944","marine invertebrate","Jeletzky 1964",1964
"93983",803065,"Early Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Beattie Peaks","","","","marine invertebrate","Jeletzky 1964",1964
"93984",803066,"Middle Albian","Late Albian",110.1,NA,"",100.5,NA,"",NA,NA,"","Peace River","","","1949","marine invertebrate","Jeletzky 1964",1964
"93987",803123,"Berriasian","",143.1,NA,"",137.05,NA,"",NA,NA,"","Monteith","","","","marine invertebrate","Jeletzky 1968",1968
"93997",803146,"Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Monach","","","","marine invertebrate","Jeletzky 1968",1968
"94019",803170,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","McMurray","","","","marine invertebrate","Jeletzky 1968",1968
"94020",803172,"Early Valanginian","",137.05,NA,"",132.6,NA,"",NA,NA,"","Deer Bay","","","1961","marine invertebrate","Jeletzky 1965",1965
"94029",803181,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Sans Sault","","","","marine invertebrate","Warren and Stelck 1960",1960
"94033",803185,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Moosebar Shale","","","","marine invertebrate","Warren and Stelck 1960",1960
"94035",803187,"Early Albian","",113.2,NA,"",110.1,NA,"",NA,NA,"","Loon River","","","","marine invertebrate","Warren and Stelck 1960",1960
"94036",803188,"Coniacian","Santonian",89.8,NA,"",83.6,NA,"",NA,NA,"","Wapiabi","","","","marine invertebrate","Warren and Rutherford 1928",1928
"94067",803221,"Early Turonian","",93.9,NA,"",89.8,NA,"",NA,NA,"","Slater River","","","","marine invertebrate","Warren 1947",1947
"94078",803232,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Buckinghorse Shale","","","","marine invertebrate","Warren 1937",1937
"94081",803237,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Lea Park","","","","marine invertebrate","Warren 1935",1935
"94094",803250,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Ribstone Creek","","","","marine invertebrate","Warren 1935",1935
"94132",803290,"Cenomanian","",100.5,NA,"",93.9,NA,"",NA,NA,"","Dunvegan","","","","marine invertebrate","Warren 1933",1933
"94136",803296,"Turonian","Coniacian",93.9,NA,"",85.7,NA,"",NA,NA,"","Kaskapau","","","","marine invertebrate","Warren 1933",1933
"94155",803319,"Late Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Blood Reserve","","","","marine invertebrate","Warren 1931",1931
"94167",803333,"Early Campanian","",83.6,NA,"",72.2,NA,"",NA,NA,"","Pakowki","","","","marine invertebrate","Warren 1931",1931
"94201",803471,"Albian","",113.2,NA,"",100.5,NA,"",NA,NA,"","Haida","","","","marine invertebrate","McLearn 1972",1972
